                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2128,                 3.7385,                 4.2143,                0.00255,                0.76471,                0.00782,                0.00275,                 3.0289,                 4.0419,                 4.1588,                  2e-05,                  2e-05,                  2e-05
                      2,                 2.6105,                 3.5348,                 4.3063,                0.00255,                0.76471,                0.01147,                0.00373,                 3.0291,                  4.044,                 4.1586,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      3,                  3.533,                 3.7954,                 4.2518,                0.00255,                0.76471,                0.01329,                0.00452,                 3.0292,                 4.0451,                 4.1584,              9.802e-05,              9.802e-05,              9.802e-05
                      4,                 3.1931,                 3.5213,                 4.2736,                0.00255,                0.76471,                0.01448,                0.00385,                 3.0293,                 4.0451,                 4.1581,             0.00013584,             0.00013584,             0.00013584
                      5,                 2.8296,                 3.5416,                 4.3293,                0.00255,                0.76471,                0.01825,                 0.0054,                 3.0291,                 4.0438,                 4.1578,             0.00017287,             0.00017287,             0.00017287
                      6,                 2.9673,                 3.3627,                 4.2267,                0.00255,                0.76471,                 0.0172,                0.00469,                 3.0288,                  4.042,                 4.1573,             0.00020911,             0.00020911,             0.00020911
                      7,                 3.0322,                 3.7191,                 4.3015,                0.00255,                0.76471,                0.01501,                0.00457,                 3.0284,                 4.0397,                 4.1568,             0.00024456,             0.00024456,             0.00024456
                      8,                 2.8269,                 3.5923,                 4.2314,                0.00235,                0.70588,                0.01175,                0.00331,                  3.028,                 4.0384,                 4.1562,             0.00027921,             0.00027921,             0.00027921
                      9,                 2.9401,                 3.5019,                 4.1249,                0.00255,                0.76471,                0.01054,                 0.0032,                 3.0279,                 4.0385,                 4.1559,             0.00031307,             0.00031307,             0.00031307
                     10,                 3.4994,                 3.8909,                 4.3223,                0.00255,                0.76471,                0.01124,                0.00322,                 3.0277,                 4.0382,                 4.1554,             0.00034614,             0.00034614,             0.00034614
                     11,                  3.568,                 3.6298,                 4.2656,                0.00255,                0.76471,                0.01027,                0.00305,                 3.0274,                  4.037,                 4.1546,             0.00037842,             0.00037842,             0.00037842
                     12,                 3.5279,                 3.5083,                 4.1284,                0.00255,                0.76471,                0.00995,                0.00319,                  3.027,                  4.034,                 4.1536,             0.00040991,             0.00040991,             0.00040991
                     13,                 4.3289,                 4.0633,                 4.2308,                0.00255,                0.76471,                0.01034,                0.00312,                 3.0264,                 4.0304,                 4.1521,              0.0004406,              0.0004406,              0.0004406
                     14,                 3.7509,                 3.4083,                 4.2447,                0.00255,                0.76471,                0.00963,                0.00305,                 3.0262,                 4.0279,                  4.151,              0.0004705,              0.0004705,              0.0004705
                     15,                 4.0545,                 3.9947,                 4.1953,                0.00255,                0.76471,                0.00935,                0.00292,                 3.0265,                 4.0305,                 4.1498,             0.00049961,             0.00049961,             0.00049961
                     16,                 3.6619,                 3.5366,                 4.1878,                0.00255,                0.76471,                 0.0099,                0.00322,                 3.0272,                 4.0343,                 4.1489,             0.00052793,             0.00052793,             0.00052793
                     17,                 3.1718,                 3.6422,                 4.1336,                0.00255,                0.76471,                0.01031,                0.00323,                  3.029,                 4.0382,                 4.1482,             0.00055546,             0.00055546,             0.00055546
                     18,                 3.3274,                 3.1963,                 4.1255,                0.00255,                0.76471,                0.01183,                0.00352,                 3.0322,                 4.0481,                 4.1473,             0.00058219,             0.00058219,             0.00058219
                     19,                 2.6001,                 3.6552,                 4.1197,                0.00255,                0.76471,                0.01247,                0.00379,                 3.0367,                 4.0559,                 4.1465,             0.00060813,             0.00060813,             0.00060813
                     20,                 4.1858,                 3.6799,                 4.1087,                0.00255,                0.76471,                 0.0255,                0.00615,                 3.0389,                 4.0561,                 4.1437,             0.00063328,             0.00063328,             0.00063328
                     21,                 3.4777,                 3.2429,                  4.128,                0.00255,                0.76471,                0.08511,                 0.0146,                 3.0391,                 4.0398,                 4.1403,             0.00065764,             0.00065764,             0.00065764
                     22,                 3.0331,                 3.5127,                 4.0717,                0.00255,                0.76471,                0.07056,                0.01358,                 3.0406,                 4.0239,                 4.1374,             0.00068121,             0.00068121,             0.00068121
                     23,                 2.9158,                 3.6442,                 4.0041,                0.00255,                0.76471,                0.10085,                0.01796,                 3.0354,                 4.0119,                 4.1303,             0.00070398,             0.00070398,             0.00070398
                     24,                 2.6917,                 3.5751,                 4.1302,                0.00255,                0.76471,                0.14206,                0.02279,                  3.029,                 4.0165,                  4.122,             0.00072596,             0.00072596,             0.00072596
                     25,                 2.5461,                 3.3243,                 4.0715,                0.00255,                0.76471,                0.05725,                0.01205,                 3.0208,                 3.9919,                 4.1148,             0.00074715,             0.00074715,             0.00074715
                     26,                 3.4552,                 4.3226,                 3.8753,                0.00255,                0.76471,                0.04868,                0.01094,                 3.0168,                 3.9459,                 4.1086,             0.00076755,             0.00076755,             0.00076755
                     27,                 3.9787,                 3.6774,                  4.063,                0.00255,                0.76471,                0.03655,                0.00816,                 3.0204,                 3.9053,                 4.0997,             0.00078716,             0.00078716,             0.00078716
                     28,                 2.7028,                 3.2421,                 3.9822,                0.00255,                0.76471,                0.03655,                0.00816,                 3.0204,                 3.9053,                 4.0997,             0.00080597,             0.00080597,             0.00080597
                     29,                 2.3941,                 3.7467,                 3.8763,                0.00255,                0.76471,                0.03069,                0.00692,                  3.033,                 3.8737,                 4.0949,             0.00082399,             0.00082399,             0.00082399
                     30,                 3.2651,                 3.3306,                 3.9935,                0.00255,                0.76471,                0.03732,                0.00806,                 3.0379,                 3.8766,                 4.0809,             0.00084122,             0.00084122,             0.00084122
                     31,                 3.4415,                 3.8974,                 3.6488,                0.00255,                0.76471,                0.03732,                0.00806,                 3.0379,                 3.8766,                 4.0809,             0.00085766,             0.00085766,             0.00085766
                     32,                  2.104,                 3.7251,                  4.273,                0.00255,                0.76471,                0.30195,                0.10398,                 3.0097,                 3.9376,                 4.0447,             0.00087331,             0.00087331,             0.00087331
                     33,                 3.1659,                 3.4436,                 3.9139,                0.00255,                0.76471,                0.20248,                0.07493,                  2.997,                 3.9146,                 4.0212,             0.00088816,             0.00088816,             0.00088816
                     34,                 3.0664,                 3.7058,                 3.9069,                0.00255,                0.76471,                0.20248,                0.07493,                  2.997,                 3.9146,                 4.0212,             0.00090222,             0.00090222,             0.00090222
                     35,                 3.0296,                 3.6865,                 3.8993,                0.00255,                0.76471,                0.13307,                0.05536,                 3.0121,                 3.8173,                 4.0147,             0.00091549,             0.00091549,             0.00091549
                     36,                 2.5638,                 3.2409,                 3.9463,                0.00255,                0.76471,                0.03063,                0.00852,                 3.0254,                 3.7892,                 4.0113,             0.00092797,             0.00092797,             0.00092797
                     37,                 2.9423,                  3.476,                 3.9763,                0.00255,                0.76471,                0.03063,                0.00852,                 3.0254,                 3.7892,                 4.0113,             0.00093966,             0.00093966,             0.00093966
                     38,                 3.0126,                 3.1985,                 3.9544,                0.00255,                0.76471,                0.01975,                 0.0059,                 3.0341,                 3.8761,                 4.0045,             0.00095055,             0.00095055,             0.00095055
                     39,                 2.9226,                 3.2859,                 3.9352,                0.00255,                0.76471,                0.07852,                0.02577,                 2.9968,                 4.2016,                  3.912,             0.00096065,             0.00096065,             0.00096065
                     40,                 3.0745,                 3.2759,                 4.0286,                0.00255,                0.76471,                0.07852,                0.02577,                 2.9968,                 4.2016,                  3.912,             0.00096996,             0.00096996,             0.00096996
                     41,                 3.6143,                 3.3679,                 3.9224,                0.00255,                0.76471,                 0.0068,                0.00197,                 3.0442,                 4.1889,                   3.98,             0.00097848,             0.00097848,             0.00097848
                     42,                 2.7766,                 3.1267,                 3.8691,                0.00078,                0.23529,                0.00111,                0.00036,                 3.0999,                  4.136,                 4.1052,             0.00098621,             0.00098621,             0.00098621
                     43,                 3.1291,                 3.1845,                 3.8157,                0.00078,                0.23529,                0.00111,                0.00036,                 3.0999,                  4.136,                 4.1052,             0.00099314,             0.00099314,             0.00099314
                     44,                 2.6521,                 2.9446,                 3.7479,                0.00275,                0.82353,                0.00658,                0.00203,                 3.1654,                 3.9013,                 4.2998,             0.00099928,             0.00099928,             0.00099928
                     45,                  2.807,                 3.0099,                 3.8393,                0.00275,                0.82353,                0.00658,                0.00203,                 3.1654,                 3.9013,                 4.2998,              0.0010046,              0.0010046,              0.0010046
                     46,                 3.5546,                 3.9984,                 3.9001,                0.00549,                0.70588,                0.01019,                0.00374,                 3.2302,                 3.5658,                  4.585,              0.0010092,              0.0010092,              0.0010092
                     47,                 2.6403,                 3.5957,                 3.7496,                0.00549,                0.70588,                0.01019,                0.00374,                 3.2302,                 3.5658,                  4.585,               0.001013,               0.001013,               0.001013
                     48,                  2.712,                 2.8316,                 3.6151,                0.00567,                0.70588,                0.01214,                0.00432,                 3.2632,                  3.554,                  4.606,              0.0010159,              0.0010159,              0.0010159
                     49,                 2.8435,                 3.5378,                  3.863,                0.00567,                0.70588,                0.01214,                0.00432,                 3.2632,                  3.554,                  4.606,              0.0010181,              0.0010181,              0.0010181
                     50,                 2.6572,                 3.1357,                 3.5981,                0.00545,                0.76471,                0.03982,                0.01799,                 3.2212,                 3.4743,                 4.4254,              0.0010195,              0.0010195,              0.0010195
                     51,                 2.9573,                 3.0762,                 3.7446,                0.00545,                0.76471,                0.03982,                0.01799,                 3.2212,                 3.4743,                 4.4254,                0.00101,                0.00101,                0.00101
                     52,                 2.7319,                 3.2704,                 3.7694,                0.00494,                0.70588,                0.02865,                0.01214,                 3.1915,                 3.5473,                 4.4009,                0.00101,                0.00101,                0.00101
                     53,                 3.0842,                 3.1436,                 3.7842,                0.00494,                0.70588,                0.02865,                0.01214,                 3.1915,                 3.5473,                 4.4009,              0.0009902,              0.0009902,              0.0009902
                     54,                 2.9996,                 3.0318,                 3.6714,                0.00839,                0.70588,                0.02615,                0.00988,                 3.1789,                 3.5778,                 4.3627,              0.0009704,              0.0009704,              0.0009704
                     55,                  2.624,                 3.2792,                 3.6693,                0.00839,                0.70588,                0.02615,                0.00988,                 3.1789,                 3.5778,                 4.3627,              0.0009506,              0.0009506,              0.0009506
                     56,                 2.4195,                 3.7844,                 3.7776,                0.02813,                0.23529,                0.02029,                0.00725,                 3.2386,                 3.6424,                 4.3703,              0.0009308,              0.0009308,              0.0009308
                     57,                  2.336,                 2.7953,                 3.3236,                0.02813,                0.23529,                0.02029,                0.00725,                 3.2386,                 3.6424,                 4.3703,               0.000911,               0.000911,               0.000911
                     58,                 3.1678,                 3.3095,                 3.7743,                0.00255,                0.76471,                0.01611,                0.00737,                 3.2467,                 3.7661,                 4.3477,              0.0008912,              0.0008912,              0.0008912
                     59,                 2.9242,                  2.964,                 3.6595,                0.00255,                0.76471,                0.01611,                0.00737,                 3.2467,                 3.7661,                 4.3477,              0.0008714,              0.0008714,              0.0008714
                     60,                 2.2645,                 3.5098,                 3.6762,                0.00255,                0.76471,                0.01709,                0.00701,                 3.2497,                   3.87,                 4.3119,              0.0008516,              0.0008516,              0.0008516
                     61,                 2.6764,                 3.0302,                  3.527,                0.00255,                0.76471,                0.01709,                0.00701,                 3.2497,                   3.87,                 4.3119,              0.0008318,              0.0008318,              0.0008318
                     62,                 3.0258,                 3.4289,                 3.6867,                0.01515,                0.23529,                0.04617,                0.01306,                 3.2155,                 3.9561,                 4.2462,               0.000812,               0.000812,               0.000812
                     63,                 2.5091,                 2.8619,                 3.4721,                0.01515,                0.23529,                0.04617,                0.01306,                 3.2155,                 3.9561,                 4.2462,              0.0007922,              0.0007922,              0.0007922
                     64,                 3.4567,                 3.3189,                 3.8628,                0.00275,                0.82353,                0.06724,                0.02715,                 3.0075,                 3.9906,                 4.0465,              0.0007724,              0.0007724,              0.0007724
                     65,                 3.3789,                 3.4532,                 3.6336,                0.00275,                0.82353,                0.06724,                0.02715,                 3.0075,                 3.9906,                 4.0465,              0.0007526,              0.0007526,              0.0007526
