                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 2.8806,                 2.9243,                 3.5115,                0.03747,                0.41176,                0.09954,                0.03321,                 2.7911,                 3.9212,                  3.704,              0.0007328,              0.0007328,              0.0007328
                     67,                 2.9524,                 3.0969,                 3.7387,                0.03747,                0.41176,                0.09954,                0.03321,                 2.7911,                 3.9212,                  3.704,               0.000713,               0.000713,               0.000713
                     68,                 2.5777,                 3.1758,                 3.5165,                0.06623,                0.17647,                0.06883,                0.01905,                 2.6371,                 4.0466,                 3.5151,              0.0006932,              0.0006932,              0.0006932
                     69,                 2.9679,                 3.2587,                 3.7841,                0.06623,                0.17647,                0.06883,                0.01905,                 2.6371,                 4.0466,                 3.5151,              0.0006734,              0.0006734,              0.0006734
                     70,                 2.8735,                 3.0227,                 3.2981,                0.05773,                0.23529,                0.05423,                0.01667,                  2.584,                 4.3289,                 3.3017,              0.0006536,              0.0006536,              0.0006536
                     71,                 3.2559,                 3.0876,                 3.5818,                0.05773,                0.23529,                0.05423,                0.01667,                  2.584,                 4.3289,                 3.3017,              0.0006338,              0.0006338,              0.0006338
                     72,                  2.454,                 3.1152,                 3.4019,                0.09832,                0.23529,                0.06636,                 0.0235,                 2.5754,                  4.219,                 3.2267,               0.000614,               0.000614,               0.000614
                     73,                 3.1771,                 2.9758,                 3.5252,                0.09832,                0.23529,                0.06636,                 0.0235,                 2.5754,                  4.219,                 3.2267,              0.0005942,              0.0005942,              0.0005942
                     74,                  3.264,                 3.2578,                  3.734,                0.22772,                0.17647,                0.14501,                 0.0526,                 2.5405,                 4.0124,                 3.3258,              0.0005744,              0.0005744,              0.0005744
                     75,                 2.8497,                 3.1201,                 3.7147,                0.22772,                0.17647,                0.14501,                 0.0526,                 2.5405,                 4.0124,                 3.3258,              0.0005546,              0.0005546,              0.0005546
                     76,                 3.5295,                 3.0384,                 3.7096,                0.55473,                0.11765,                0.16595,                0.06189,                 2.4953,                 3.7848,                 3.3372,              0.0005348,              0.0005348,              0.0005348
                     77,                 3.3646,                 3.3077,                 3.5614,                0.55473,                0.11765,                0.16595,                0.06189,                 2.4953,                 3.7848,                 3.3372,               0.000515,               0.000515,               0.000515
                     78,                 2.7058,                 2.9737,                 3.4188,                0.16525,                0.29412,                0.15641,                0.05779,                 2.3617,                 3.6852,                 3.2908,              0.0004952,              0.0004952,              0.0004952
                     79,                 2.5216,                 3.1094,                 3.4892,                0.16525,                0.29412,                0.15641,                0.05779,                 2.3617,                 3.6852,                 3.2908,              0.0004754,              0.0004754,              0.0004754
                     80,                 2.4905,                  2.871,                 3.4513,                0.22404,                0.29412,                0.17144,                0.06117,                 2.3744,                 3.6604,                 3.2638,              0.0004556,              0.0004556,              0.0004556
                     81,                 3.2979,                 3.0373,                 3.6463,                0.22404,                0.29412,                0.17144,                0.06117,                 2.3744,                 3.6604,                 3.2638,              0.0004358,              0.0004358,              0.0004358
                     82,                 3.2163,                  3.227,                 3.6828,                0.29435,                0.17647,                0.16341,                0.06208,                 2.4329,                 3.8591,                 3.3273,               0.000416,               0.000416,               0.000416
