                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2128,                 3.7385,                 4.2143,                0.00255,                0.76471,                0.00782,                0.00275,                 3.0289,                 4.0419,                 4.1588,                  2e-05,                  2e-05,                  2e-05
                      2,                 2.6115,                 3.5182,                 4.3075,                0.00255,                0.76471,                0.01018,                0.00363,                 3.0291,                  4.044,                 4.1586,               4.02e-05,               4.02e-05,               4.02e-05
                      3,                 3.5261,                 3.7941,                 4.2512,                0.00255,                0.76471,                0.01115,                 0.0036,                 3.0293,                 4.0457,                 4.1585,                3.4e-05,                3.4e-05,                3.4e-05
